         64        1250  n2 & nume
 244       24.961  5.871782E-01  3.341576E-02  9.660669E-02
 245       25.232  5.975392E-01  3.234670E-02  9.032885E-02
 246       25.507  6.078945E-01  3.130837E-02  8.449937E-02
 247       25.785  6.176232E-01  3.047510E-02  7.969698E-02
 248       26.066  6.273141E-01  2.963145E-02  7.513025E-02
 249       26.350  6.366354E-01  2.877425E-02  7.084942E-02
 250       26.637  6.457878E-01  2.802513E-02  6.707349E-02
 251       26.927  6.547388E-01  2.739862E-02  6.380177E-02
 252       27.220  6.633952E-01  2.676089E-02  6.070853E-02
 253       27.516  6.719863E-01  2.613058E-02  5.777927E-02
 254       27.816  6.801956E-01  2.577103E-02  5.562130E-02
 255       28.119  6.882566E-01  2.543604E-02  5.362361E-02
 256       28.425  6.960327E-01  2.514210E-02  5.182937E-02
 257       28.734  7.034991E-01  2.487308E-02  5.019494E-02
 258       29.047  7.108518E-01  2.461120E-02  4.864681E-02
 259       29.364  7.179022E-01  2.435183E-02  4.719560E-02
 260       29.683  7.248065E-01  2.411530E-02  4.585304E-02
 261       30.007  7.316056E-01  2.389709E-02  4.459929E-02
 262       30.333  7.378678E-01  2.375332E-02  4.358303E-02
 263       30.664  7.441981E-01  2.360799E-02  4.258386E-02
 264       30.998  7.505975E-01  2.346107E-02  4.160155E-02
 265       31.335  7.563225E-01  2.331590E-02  4.072167E-02
 266       31.676  7.621044E-01  2.316918E-02  3.985479E-02
 267       32.021  7.679124E-01  2.301745E-02  3.899814E-02
 268       32.370  7.732156E-01  2.281173E-02  3.812230E-02
 269       32.722  7.785766E-01  2.260376E-02  3.725737E-02
 270       33.079  7.838824E-01  2.240062E-02  3.642534E-02
 271       33.439  7.888417E-01  2.222052E-02  3.568042E-02
 272       33.803  7.938550E-01  2.203845E-02  3.494332E-02
 273       34.171  7.986919E-01  2.185441E-02  3.423382E-02
 274       34.543  8.033131E-01  2.166836E-02  3.355370E-02
 275       34.919  8.079845E-01  2.148028E-02  3.287964E-02
 276       35.300  8.123751E-01  2.127218E-02  3.221077E-02
 277       35.684  8.167232E-01  2.105692E-02  3.154688E-02
 278       36.073  8.210442E-01  2.084658E-02  3.090451E-02
 279       36.465  8.250842E-01  2.066589E-02  3.033788E-02
 280       36.863  8.291682E-01  2.048323E-02  2.977476E-02
 281       37.264  8.330441E-01  2.026691E-02  2.918735E-02
 282       37.670  8.368291E-01  2.003156E-02  2.858857E-02
 283       38.080  8.406047E-01  1.978166E-02  2.797942E-02
 284       38.495  8.442094E-01  1.947895E-02  2.731707E-02
 285       38.914  8.478534E-01  1.917295E-02  2.665787E-02
 286       39.338  8.513182E-01  1.893787E-02  2.611755E-02
 287       39.766  8.547644E-01  1.871941E-02  2.560891E-02
 288       40.199  8.581132E-01  1.847868E-02  2.508306E-02
 289       40.637  8.613380E-01  1.821166E-02  2.453626E-02
 290       41.079  8.645563E-01  1.794332E-02  2.399547E-02
 291       41.526  8.676164E-01  1.767940E-02  2.347641E-02
 292       41.979  8.707099E-01  1.741260E-02  2.295847E-02
 293       42.436  8.736161E-01  1.712983E-02  2.243597E-02
 294       42.898  8.765430E-01  1.684333E-02  2.191397E-02
 295       43.365  8.793635E-01  1.652816E-02  2.136654E-02
 296       43.837  8.821755E-01  1.620233E-02  2.081235E-02
 297       44.315  8.849118E-01  1.589812E-02  2.029578E-02
 298       44.797  8.876224E-01  1.560376E-02  1.979879E-02
 299       45.285  8.902561E-01  1.531475E-02  1.931752E-02
 300       45.778  8.928421E-01  1.502874E-02  1.884734E-02
 301       46.277  8.953643E-01  1.474238E-02  1.838443E-02
 302       46.780  8.978395E-01  1.445514E-02  1.792720E-02
 303       47.290  9.002537E-01  1.416768E-02  1.747678E-02
 304       47.805  9.026266E-01  1.387931E-02  1.703134E-02
 305       48.325  9.049423E-01  1.358129E-02  1.658064E-02
 306       48.852  9.072330E-01  1.327607E-02  1.612646E-02
 307       49.384  9.094631E-01  1.297904E-02  1.568859E-02
 308       49.921  9.116840E-01  1.268328E-02  1.525664E-02
 309       50.465  9.138301E-01  1.238894E-02  1.483281E-02
 310       51.014  9.159798E-01  1.209263E-02  1.441031E-02
 311       51.570  9.180502E-01  1.180932E-02  1.400942E-02
 312       52.132  9.201192E-01  1.152687E-02  1.361304E-02
 313       52.699  9.221317E-01  1.125439E-02  1.323339E-02
 314       53.273  9.241168E-01  1.098986E-02  1.286699E-02
 315       53.853  9.260689E-01  1.073461E-02  1.251530E-02
 316       54.440  9.279666E-01  1.048538E-02  1.217486E-02
 317       55.032  9.298538E-01  1.023737E-02  1.183877E-02
 318       55.632  9.316636E-01  1.000366E-02  1.152366E-02
 319       56.237  9.334572E-01  9.762650E-03  1.120292E-02
 320       56.850  9.352141E-01  9.511572E-03  1.087390E-02
 321       57.469  9.369405E-01  9.257761E-03  1.054483E-02
 322       58.095  9.386603E-01  9.004026E-03  1.021833E-02
 323       58.727  9.403462E-01  8.763634E-03  9.909938E-03
 324       59.367  9.420075E-01  8.535295E-03  9.617764E-03
 325       60.013  9.436532E-01  8.315630E-03  9.337628E-03
